time (minutes),A,B
15.7458333333333,34624.6809441741,57707.2017807244
15.7466666666667,34624.680944192,57707.2019539514
15.7475,34624.6809442099,57707.2021271283
15.7483333333333,34624.6809442278,57707.2023002553
15.7491666666667,34624.6809442456,57707.2024733323
15.75,34624.6809442635,57707.2026463592
15.7508333333333,34624.6809442813,57707.2028193363
15.7516666666667,34624.6809442992,57707.2029922633
15.7525,34624.680944317,57707.2031651405
15.7533333333333,34624.6809443348,57707.2033379677
15.7541666666667,34624.6809443526,57707.203510745
15.755,34624.6809443704,57707.2036834724
15.7558333333333,34624.6809443882,57707.20385615
15.7566666666667,34624.680944406,57707.2040287777
15.7575,34624.6809444238,57707.2042013555
15.7583333333333,34624.6809444416,57707.2043738835
15.7591666666667,34624.6809444593,57707.2045463617
15.76,34624.6809444771,57707.20471879
15.7608333333333,34624.6809444948,57707.2048911686
15.7616666666667,34624.6809445125,57707.2050634974
15.7625,34624.6809445303,57707.2052357765
15.7633333333333,34624.680944548,57707.2054080057
15.7641666666667,34624.6809445657,57707.2055801853
15.765,34624.6809445834,57707.2057523152
15.7658333333333,34624.6809446011,57707.2059243953
15.7666666666667,34624.6809446188,57707.2060964257
15.7675,34624.6809446364,57707.2062684065
15.7683333333333,34624.6809446541,57707.2064403376
15.7691666666667,34624.6809446718,57707.2066122191
15.77,34624.6809446894,57707.2067840509
15.7708333333333,34624.680944707,57707.2069558331
15.7716666666667,34624.6809447247,57707.2071275658
15.7725,34624.6809447423,57707.2072992488
15.7733333333333,34624.6809447599,57707.2074708822
15.7741666666667,34624.6809447775,57707.2076424661
15.775,34624.6809447951,57707.2078140004
15.7758333333333,34624.6809448127,57707.2079854852
15.7766666666667,34624.6809448303,57707.2081569205
15.7775,34624.6809448479,57707.2083283063
15.7783333333333,34624.6809448654,57707.2084996426
15.7791666666667,34624.680944883,57707.2086709294
15.78,34624.6809449005,57707.2088421668
15.7808333333333,34624.6809449181,57707.2090133547
15.7816666666667,34624.6809449356,57707.2091844931
15.7825,34624.6809449531,57707.2093555822
15.7833333333333,34624.6809449706,57707.2095266219
15.7841666666667,34624.6809449881,57707.2096976121
15.785,34624.6809450056,57707.209868553
15.7858333333333,34624.6809450231,57707.2100394445
15.7866666666667,34624.6809450406,57707.2102102867
15.7875,34624.6809450581,57707.2103810796
15.7883333333333,34624.6809450755,57707.2105518231
15.7891666666667,34624.680945093,57707.2107225173
15.79,34624.6809451104,57707.2108931622
15.7908333333333,34624.6809451279,57707.2110637579
15.7916666666667,34624.6809451453,57707.2112343043
15.7925,34624.6809451627,57707.2114048014
15.7933333333333,34624.6809451801,57707.2115752494
15.7941666666667,34624.6809451975,57707.2117456481
15.795,34624.6809452149,57707.2119159975
15.7958333333333,34624.6809452323,57707.2120862978
15.7966666666667,34624.6809452497,57707.212256549
15.7975,34624.6809452671,57707.2124267509
15.7983333333333,34624.6809452844,57707.2125969038
15.7991666666667,34624.6809453018,57707.2127670074
15.8,34624.6809453191,57707.212937062
15.8008333333333,34624.6809453365,57707.2131070675
15.8016666666667,34624.6809453538,57707.2132770238
15.8025,34624.6809453711,57707.2134469311
15.8033333333333,34624.6809453884,57707.2136167893
15.8041666666667,34624.6809454057,57707.2137865985
15.805,34624.680945423,57707.2139563587
15.8058333333333,34624.6809454403,57707.2141260698
15.8066666666667,34624.6809454576,57707.2142957319
15.8075,34624.6809454749,57707.214465345
15.8083333333333,34624.6809454921,57707.2146349092
15.8091666666667,34624.6809455094,57707.2148044243
15.81,34624.6809455266,57707.2149738906
15.8108333333333,34624.6809455438,57707.2151433079
15.8116666666667,34624.6809455611,57707.2153126762
15.8125,34624.6809455783,57707.2154819957
15.8133333333333,34624.6809455955,57707.2156512663
15.8141666666667,34624.6809456127,57707.215820488
15.815,34624.6809456299,57707.2159896608
15.8158333333333,34624.6809456471,57707.2161587848
15.8166666666667,34624.6809456643,57707.21632786
15.8175,34624.6809456814,57707.2164968863
15.8183333333333,34624.6809456986,57707.2166658638
15.8191666666667,34624.6809457158,57707.2168347925
15.82,34624.6809457329,57707.2170036724
15.8208333333333,34624.68094575,57707.2171725036
15.8216666666667,34624.6809457672,57707.217341286
15.8225,34624.6809457843,57707.2175100197
15.8233333333333,34624.6809458014,57707.2176787047
15.8241666666667,34624.6809458185,57707.2178473409
15.825,34624.6809458356,57707.2180159285
15.8258333333333,34624.6809458527,57707.2181844674
15.8266666666667,34624.6809458698,57707.2183529576
